M,logR,Sd,PGV,logPGV,PGA,logPGA,Ia,CAV,MMI
5.9,0.770852012,0,0.198657087,-7.02E-01,1.459693976,1.64E-01,-0.017728767,1.916137983,4
5.9,0.770852012,0,0.1430148,-8.45E-01,1.196452542,7.79E-02,-0.431798276,1.672374979,4
5.9,0.770852012,0,0.176091259,-7.54E-01,1.219060332,8.60E-02,-0.356547324,1.709524356,4
4.7,0.672097858,1,0.655138435,-1.84E-01,1.933031495,2.86E-01,0.661812686,2.067480024,6
4.7,0.672097858,1,0.584331224,-2.33E-01,1.990871405,2.99E-01,0.728353782,2.077331561,6
5.2,0.716003344,0,-0.022276395,-1.65E+00,1.344785123,1.29E-01,-0.27572413,1.746322765,4
5.2,0.716003344,0,0.056904851,-1.24E+00,1.40363519,1.47E-01,-0.102372909,1.846893543,4
5.2,0.716003344,0,-0.070581074,-1.15E+00,1.256958153,9.93E-02,-0.366531544,1.697142126,4
5.2,0.716003344,0,0.235528447,-6.28E-01,1.312388949,1.18E-01,-0.408935393,1.683227206,4
5.8,0.763427994,1,0.252853031,-5.97E-01,1.123198075,5.05E-02,-0.292429824,1.847140617,4
5.8,0.763427994,1,0.247973266,-6.06E-01,1.169380495,6.80E-02,-0.244125144,1.885530833,4
5.8,0.763427994,0,0.086359831,-1.06E+00,1.229681842,8.98E-02,-0.619788758,1.468495025,4
5.8,0.763427994,0,0.127104798,-8.96E-01,1.27600199,1.06E-01,-0.408935393,1.583878598,4
5.8,0.763427994,0,0.173186268,-7.61E-01,1.004321374,1.87E-03,-0.823908741,1.386498966,4
5.8,0.763427994,0,0.079181246,-1.10E+00,1.011570444,5.00E-03,-0.823908741,1.404662701,4
4.9,0.69019608,0,-0.036212173,-1.44E+00,1.477844476,1.70E-01,-0.26760624,1.677333151,5
4.9,0.69019608,0,0.240549248,-6.19E-01,1.740441645,2.41E-01,0.120573931,1.801129188,5
4.9,0.69019608,1,0.611723308,-2.13E-01,2.000434077,3.01E-01,0.521138084,1.983175072,6
4.9,0.69019608,1,0.809559715,-9.18E-02,2.265478204,3.55E-01,1.045322979,2.180469962,6
4.9,0.69019608,0,0.096910013,-1.01E+00,1.642662331,2.16E-01,-0.040958608,1.790988475,5
4.9,0.69019608,0,0.220108088,-6.57E-01,1.670709595,2.23E-01,0.130333768,1.835500328,5
4.9,0.69019608,1,0.603144373,-2.20E-01,1.974281359,2.95E-01,0.614897216,2.011781831,6
4.9,0.69019608,1,0.673941999,-1.71E-01,2.055607652,3.13E-01,0.663700925,2.105442055,6
5.4,0.73239376,1,0.968482949,-1.39E-02,2.153631965,3.33E-01,1.007320953,2.288874946,7
5.4,0.73239376,1,1.27392678,1.05E-01,2.629032231,4.20E-01,1.52179165,2.437369992,7
5.4,0.73239376,0,0.668385917,-1.75E-01,1.947384702,2.89E-01,0.716003344,2.242566273,6
5.4,0.73239376,0,0.705863712,-1.51E-01,2.049760552,3.12E-01,0.800029359,2.263257227,6
5.3,0.72427587,1,0.354108439,-4.51E-01,1.629613445,2.12E-01,0.11058971,1.881783956,5
5.3,0.72427587,1,0.877946952,-5.65E-02,2.154758619,3.33E-01,0.81756537,2.054613055,5
5.3,0.72427587,1,0.322219295,-4.92E-01,1.459241665,1.64E-01,0.290034611,2.098193626,4
5.3,0.72427587,1,0.315970345,-5.00E-01,1.492341253,1.74E-01,0.255272505,2.053347392,4
4.7,0.672097858,0,0.033423755,-1.48E+00,1.699577591,2.30E-01,0.064457989,1.799064719,6
4.7,0.672097858,0,0.31386722,-5.03E-01,1.873204309,2.73E-01,0.51851394,1.94116346,6
5.6,0.748188027,0,0.187520721,-7.27E-01,1.522965595,1.83E-01,0.056904851,1.860697274,4
5.6,0.748188027,0,0.396199347,-4.02E-01,1.706973676,2.32E-01,0.292256071,1.970439863,4
5.6,0.748188027,0,-0.091514981,-1.04E+00,1.280350693,1.07E-01,-0.537602002,1.517459827,4
5.6,0.748188027,0,0.008600172,-2.07E+00,1.398634325,1.46E-01,-0.431798276,1.53032779,4
5.6,0.748188027,1,0.330413773,-4.81E-01,1.301029996,1.14E-01,-0.119186408,1.784331948,4
5.6,0.748188027,1,0.240549248,-6.19E-01,1.489536629,1.73E-01,-0.017728767,1.826981337,4
